,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
330,RC Deportivo de La Coruña,199354,Spain,81,81,2005,18500000.0,135000.0,Lucas Pérez
331,Everton,199189,England,81,86,2021,24000000.0,105000.0,R. Barkley
332,Villarreal CF,198951,DR Congo,81,84,1967,22500000.0,45000.0,C. Bakambu
333,Crystal Palace,198717,Ivory Coast,81,84,1897,22500000.0,60000.0,W. Zaha
334,Borussia Dortmund,198141,Spain,81,83,2010,18000000.0,61000.0,Bartra
335,Tottenham Hotspur,197853,Ivory Coast,81,85,2136,19000000.0,79000.0,S. Aurier
336,Sporting CP,197655,Uruguay,81,83,1723,18000000.0,21000.0,S. Coates
337,West Bromwich Albion,197242,Poland,81,83,1992,17500000.0,81000.0,G. Krychowiak
338,RB Leipzig,195365,Slovenia,81,83,2030,21000000.0,73000.0,K. Kampl
339,Liverpool,195086,Croatia,81,83,1739,17500000.0,110000.0,D. Lovren
340,Borussia Dortmund,194794,Ukraine,81,81,2024,18500000.0,72000.0,A. Yarmolenko
341,Galatasaray SK,193738,Morocco,81,81,2133,18500000.0,71000.0,Y. Belhanda
342,CSKA Moscow,193525,Russia,81,82,2086,17000000.0,52000.0,Mário Fernandes
343,Milan,193352,Switzerland,81,84,2179,18500000.0,83000.0,R. Rodríguez
344,FC Porto,193165,Mexico,81,85,1969,23000000.0,17000.0,J. Corona
345,Villarreal CF,192789,Spain,81,84,2092,18000000.0,38000.0,Mario Gaspar
346,Chelsea,192638,Spain,81,83,2118,17500000.0,115000.0,Marcos Alonso
347,Borussia Dortmund,192318,Germany,81,85,1972,22500000.0,63000.0,M. Götze
348,Eintracht Frankfurt,190941,Finland,81,83,1122,14500000.0,28000.0,L. Hrádecký
349,Real Sociedad,190584,Spain,81,81,2043,18000000.0,37000.0,Illarramendi
350,Athletic Club de Bilbao,190149,Spain,81,81,2101,14000000.0,31000.0,De Marcos
351,Manchester United,189881,England,81,82,1826,17000000.0,120000.0,C. Smalling
352,Athletic Club de Bilbao,189574,Spain,81,81,1957,17500000.0,33000.0,Iturraspe
353,Arsenal,189461,England,81,84,2102,22000000.0,115000.0,J. Wilshere
354,FC Bayern Munich,189251,Germany,81,82,2119,20000000.0,105000.0,S. Rudy
355,West Ham United,188988,Argentina,81,87,1926,24500000.0,95000.0,M. Lanzini
356,Real Betis Balompié,188388,Algeria,81,82,1987,20500000.0,32000.0,R. Boudebouz
357,VfL Wolfsburg,188005,Spain,81,84,2026,18000000.0,66000.0,Camacho
358,FC Barcelona,187961,Brazil,81,81,2168,17500000.0,165000.0,Paulinho
359,Milan,185431,Croatia,81,81,1892,18000000.0,84000.0,N. Kalinić
360,Fenerbahçe SK,184942,Brazil,81,82,2037,20500000.0,80000.0,Giuliano
361,Crystal Palace,184111,Belgium,81,83,1872,22000000.0,75000.0,C. Benteke
362,Roma,183900,Argentina,81,81,1921,18000000.0,84000.0,D. Perotti
363,Lazio,183498,Italy,81,81,2150,13500000.0,60000.0,M. Parolo
364,Olympique de Marseille,183483,Greece,81,81,1800,18000000.0,44000.0,K. Mitroglou
365,Crystal Palace,183285,France,81,82,1728,17000000.0,63000.0,M. Sakho
366,Olympique de Marseille,183280,France,81,81,1725,12000000.0,35000.0,A. Rami
367,AS Monaco,181820,Montenegro,81,82,1977,21000000.0,48000.0,S. Jovetić
368,Everton,180216,Republic of Ireland,81,81,2064,14000000.0,115000.0,S. Coleman
369,Sevilla FC,179645,Denmark,81,82,1869,16000000.0,23000.0,S. Kjær
370,Real Betis Balompié,178086,Spain,81,81,1273,11500000.0,24000.0,Adán
371,Fenerbahçe SK,177326,France,81,81,1932,14000000.0,86000.0,M. Valbuena
372,Liverpool,173426,Belgium,81,81,1266,12000000.0,91000.0,S. Mignolet
373,Fiorentina,173198,Italy,81,81,1656,13000000.0,68000.0,D. Astori
374,Everton,172175,Belgium,81,81,2059,17500000.0,125000.0,K. Mirallas
375,Athletic Club de Bilbao,171579,Spain,81,81,2124,17000000.0,32000.0,Raúl García
376,Fenerbahçe SK,166706,Slovakia,81,81,1666,10000000.0,73000.0,M. Škrtel
377,Burnley,163264,England,81,81,1271,11000000.0,51000.0,T. Heaton
378,Paris Saint-Germain,161648,France,81,81,1997,17000000.0,88000.0,H. Ben Arfa
379,OGC Nice,158625,Brazil,81,81,1846,7000000.0,39000.0,Dante
380,Tigres U.A.N.L.,153244,France,81,81,2001,16000000.0,84000.0,A. Gignac
381,Atlético Madrid,146954,Spain,81,81,2116,10500000.0,62000.0,Gabi
382,San Lorenzo de Almagro,142780,Argentina,81,81,1856,7000000.0,27000.0,G. Rodríguez
383,Shakhtar Donetsk,139997,Croatia,81,81,2205,3800000.0,1000.0,D. Srna
384,Chicago Fire Soccer Club,121944,Germany,81,81,2134,13500000.0,13000.0,B. Schweinsteiger
385,Galatasaray SK,116494,France,81,81,1175,4200000.0,34000.0,C. Carrasso
386,Atlético Madrid,110677,Spain,81,81,1184,9000000.0,46000.0,Moyá
387,Everton,54050,England,81,81,2127,15500000.0,120000.0,W. Rooney
388,Arsenal,53612,Germany,81,81,1558,10000000.0,110000.0,P. Mertesacker
389,Paris Saint-Germain,49370,Italy,81,81,1972,5500000.0,81000.0,T. Motta
390,Atlético Madrid,49369,Spain,81,81,1884,11000000.0,68000.0,Fernando Torres
391,Antalyaspor,9676,Cameroon,81,81,2029,6500000.0,22000.0,S. Eto'o
392,Manchester United,231677,England,80,89,2006,22000000.0,74000.0,M. Rashford
393,Lazio,223848,Serbia,80,86,2093,20000000.0,52000.0,S. Milinković-Savić
394,AS Monaco,216393,Belgium,80,90,2099,23500000.0,35000.0,Y. Tielemans
395,AS Monaco,215792,Brazil,80,86,1700,17500000.0,35000.0,Jemerson
396,FC Schalke 04,213296,Algeria,80,85,2071,19500000.0,42000.0,N. Bentaleb
397,Roma,212831,Brazil,80,84,1194,14000000.0,45000.0,Alisson
398,FC Porto,212462,Brazil,80,84,2159,16000000.0,15000.0,Alex Telles
399,Bayer 04 Leverkusen,212194,Germany,80,88,1847,22000000.0,49000.0,J. Brandt
400,TSG 1899 Hoffenheim,211748,Germany,80,84,2054,19500000.0,40000.0,K. Demirbay
401,Juventus,211320,Italy,80,88,1691,19000000.0,88000.0,D. Rugani
402,Villarreal CF,210617,Spain,80,85,1896,20000000.0,36000.0,Samu Castillejo
403,Napoli,210406,Poland,80,87,2037,20500000.0,64000.0,P. Zieliński
404,FC Porto,210243,Portugal,80,86,2120,17000000.0,15000.0,Ricardo Pereira
405,SL Benfica,210035,Spain,80,87,2092,17500000.0,12000.0,Grimaldo
406,Shakhtar Donetsk,209297,Brazil,80,85,2123,19500000.0,1000.0,Fred
407,1. FC Köln,208334,Germany,80,81,2065,14000000.0,42000.0,J. Hector
408,Liverpool,208333,Germany,80,85,2135,19500000.0,105000.0,E. Can
409,Arsenal,207993,Bosnia Herzegovina,80,83,1888,15500000.0,91000.0,S. Kolašinac
410,Athletic Club de Bilbao,206585,Spain,80,87,1207,15500000.0,20000.0,Arrizabalaga
411,OGC Nice,206467,France,80,86,2048,20500000.0,41000.0,A. Pléa
412,Shakhtar Donetsk,206413,Ukraine,80,81,2014,14000000.0,1000.0,T. Stepanenko
413,Zenit St. Petersburg,206273,Russia,80,80,2021,16000000.0,74000.0,O. Shatov
414,RCD Espanyol,205976,Brazil,80,83,1857,19000000.0,36000.0,Leo Baptistao
415,FC Schalke 04,205362,Serbia,80,84,1730,16500000.0,38000.0,M. Nastasić
416,FC Barcelona,205192,Spain,80,87,2005,20500000.0,140000.0,Denis Suárez
417,Chelsea,204529,Belgium,80,85,1852,20000000.0,120000.0,M. Batshuayi
418,VfL Wolfsburg,204082,United States,80,85,1738,17000000.0,57000.0,J. Brooks
419,Feyenoord,203888,Brazil,80,80,1601,11500000.0,22000.0,Eric Botteghin
420,Liverpool,203775,Germany,80,84,1203,14000000.0,71000.0,L. Karius
421,Borussia Mönchengladbach,203486,Belgium,80,84,2011,19500000.0,44000.0,T. Hazard
422,Olympique de Marseille,203280,France,80,80,2013,16000000.0,42000.0,V. Germain
423,Paris Saint-Germain,201510,France,80,85,2139,16500000.0,69000.0,L. Kurzawa
424,Atalanta,200647,Slovenia,80,80,1946,15000000.0,42000.0,J. Iličić
425,Bayer 04 Leverkusen,200610,Germany,80,83,2065,19000000.0,59000.0,K. Volland
426,Napoli,199914,Brazil,80,82,2105,17500000.0,74000.0,Allan
427,RC Celta de Vigo,199827,Chile,80,80,2064,13500000.0,32000.0,P. Hernández
428,Southampton,199434,Serbia,80,80,1954,15000000.0,98000.0,D. Tadić
429,Sevilla FC,199110,Colombia,80,83,1900,18500000.0,26000.0,L. Muriel
430,Sevilla FC,198950,Spain,80,83,1862,18500000.0,23000.0,Pablo Sarabia
431,Liverpool,198784,England,80,85,2004,20000000.0,105000.0,A. Oxlade-Chamberlain
432,VfL Wolfsburg,198118,France,80,82,1967,15000000.0,66000.0,J. Guilavogui
433,Beşiktaş JK,196934,Turkey,80,85,2127,19500000.0,54000.0,O. Özyakup
434,Shakhtar Donetsk,195861,Ukraine,80,82,2115,14500000.0,1000.0,Y. Rakitskyi
435,SD Eibar,194879,Spain,80,81,1916,17500000.0,31000.0,Sergi Enrich
436,Valencia CF,194404,Brazil,80,80,1275,10000000.0,30000.0,Neto
437,RC Celta de Vigo,194229,Spain,80,83,1912,15000000.0,29000.0,Hugo Mallo
438,VfL Wolfsburg,193886,Germany,80,81,2074,17000000.0,73000.0,D. Didavi
439,Villarreal CF,193361,Italy,80,81,2122,17500000.0,42000.0,R. Soriano
440,Borussia Dortmund,193130,Germany,80,81,2037,17500000.0,66000.0,A. Schürrle
441,Roma,193116,France,80,80,2019,12000000.0,71000.0,M. Gonalons
442,Watford,193061,Argentina,80,83,2076,18000000.0,69000.0,R. Pereyra
443,TSG 1899 Hoffenheim,192641,Germany,80,82,1953,15000000.0,40000.0,K. Vogt
444,Valencia CF,192492,Chile,80,80,1919,13000000.0,40000.0,F. Orellana
445,Galatasaray SK,191687,Brazil,80,80,1882,12000000.0,68000.0,Maicon
446,SL Benfica,190972,Argentina,80,80,2027,16000000.0,17000.0,E. Salvio
447,Manchester United,190815,Netherlands,80,81,2078,13500000.0,120000.0,D. Blind
448,Roma,190813,Italy,80,83,1873,19000000.0,71000.0,S. El Shaarawy
449,West Ham United,190717,England,80,81,2074,17500000.0,120000.0,M. Antonio
450,Torino,190264,Spain,80,80,1928,15500000.0,61000.0,Iago Falqué
451,West Bromwich Albion,189250,Venezuela,80,80,1792,16000000.0,89000.0,S. Rondón
452,Sevilla FC,189156,Portugal,80,81,1936,13500000.0,23000.0,Daniel Carriço
453,Borussia Dortmund,188802,Germany,80,80,2000,11000000.0,63000.0,M. Schmelzer
454,Everton,188253,Republic of Ireland,80,83,2047,15500000.0,110000.0,J. McCarthy
455,CSKA Moscow,187735,Russia,80,81,2141,16500000.0,57000.0,A. Dzagoev
456,Sevilla FC,187688,Brazil,80,81,1870,17000000.0,24000.0,Ganso
457,FC Krasnodar,187491,Russia,80,81,1957,17500000.0,59000.0,F. Smolov
458,Arsenal,186146,England,80,81,1972,17500000.0,130000.0,D. Welbeck
459,Olympique de Marseille,185221,Brazil,80,80,1971,11500000.0,37000.0,Luiz Gustavo
460,Athletic Club de Bilbao,185132,Spain,80,80,1946,14500000.0,33000.0,Mikel San José
461,Manchester United,184392,Italy,80,81,2005,13500000.0,120000.0,M. Darmian
462,Angers SCO,184190,France,80,80,1654,11500000.0,32000.0,R. Thomas
463,Borussia Mönchengladbach,183909,Guinea,80,80,1987,14500000.0,48000.0,I. Traoré
464,RC Deportivo de La Coruña,182002,Brazil,80,82,1787,14500000.0,29000.0,Sidnei
465,Beşiktaş JK,178416,Netherlands,80,80,1994,14500000.0,17000.0,J. Lens
466,Inter,178311,Italy,80,80,1939,14500000.0,80000.0,Eder
467,Real Madrid CF,177644,Spain,80,80,1281,9500000.0,120000.0,Kiko Casilla
468,Arsenal,177604,Spain,80,80,2008,9500000.0,110000.0,Nacho Monreal
469,Bayer 04 Leverkusen,177458,Germany,80,81,1866,13500000.0,59000.0,S. Bender
470,U.N.A.M.,176930,Chile,80,80,2099,13500000.0,31000.0,M. Díaz
471,Atlético Madrid,176915,Argentina,80,80,2056,12500000.0,62000.0,A. Fernández
472,,176733,Sweden,80,80,1841,0.0,0.0,M. Berg
473,Montreal Impact,176376,Argentina,80,80,2039,11500000.0,14000.0,I. Piatti
474,Chievo Verona,176104,Slovenia,80,80,2000,14000000.0,25000.0,V. Birsa
475,SD Eibar,175379,Spain,80,80,1957,14000000.0,29000.0,Pedro León
476,Eintracht Frankfurt,173909,Ghana,80,80,2156,14500000.0,41000.0,K. Boateng
477,FC Porto,173521,Spain,80,80,1786,11000000.0,18000.0,Marcano
478,Roma,173432,Mexico,80,80,1882,11500000.0,71000.0,H. Moreno
479,Manchester United,173373,Argentina,80,80,1251,9500000.0,97000.0,S. Romero
480,Inter,173221,Italy,80,80,2062,14000000.0,74000.0,A. Candreva
481,Zenit St. Petersburg,173208,Italy,80,80,2093,10500000.0,67000.0,D. Criscito
482,RC Celta de Vigo,172522,Denmark,80,80,2107,14500000.0,33000.0,D. Wass
483,FC Schalke 04,172316,Spain,80,80,2030,10500000.0,44000.0,Coke
484,Real Betis Balompié,171897,Mexico,80,80,2098,13500000.0,32000.0,A. Guardado
485,LA Galaxy,170370,Mexico,80,81,2056,16500000.0,13000.0,J. dos Santos
486,Tottenham Hotspur,170368,Argentina,80,83,2047,18500000.0,96000.0,E. Lamela
487,Southampton,169705,England,80,80,2027,12000000.0,86000.0,R. Bertrand
488,,169195,Brazil,80,80,2069,0.0,0.0,Renato Augusto
489,SL Benfica,168530,Brazil,80,80,1655,10000000.0,16000.0,Jardel
490,Lokomotiv Moscow,167553,Uzbekistan,80,80,1988,10500000.0,50000.0,V. Denisov
491,Lazio,167514,Serbia,80,80,2097,8000000.0,54000.0,D. Basta
492,RC Celta de Vigo,165536,Argentina,80,80,1681,10000000.0,29000.0,G. Cabral
493,Milan,165526,Italy,80,80,1617,10000000.0,96000.0,G. Paletta
494,Arsenal,164859,England,80,80,1976,15000000.0,125000.0,T. Walcott
495,Swansea City,164835,Poland,80,80,1206,8500000.0,60000.0,L. Fabiański
496,West Bromwich Albion,163155,England,80,80,1241,6000000.0,60000.0,B. Foster
497,Hertha BSC Berlin,162369,Bosnia Herzegovina,80,80,1890,12000000.0,41000.0,V. Ibišević
498,Feyenoord,162329,Morocco,80,80,2045,11000000.0,23000.0,K. El Ahmadi
499,Hertha BSC Berlin,158232,Ivory Coast,80,80,1922,13000000.0,38000.0,S. Kalou
500,Lokomotiv Moscow,157960,Portugal,80,80,2145,13000000.0,54000.0,Manuel Fernandes
501,FC Krasnodar,156713,Sweden,80,80,1798,8500000.0,50000.0,A. Granqvist
502,Vissel Kobe,150516,Germany,80,80,2036,12000000.0,13000.0,L. Podolski
503,RCD Espanyol,146460,Spain,80,80,1979,6000000.0,34000.0,Javi Fuego
504,San Lorenzo de Almagro,143587,Argentina,80,80,2102,9000000.0,30000.0,F. Belluschi
505,Bologna,140293,Italy,80,80,1194,7500000.0,48000.0,A. Mirante
506,LOSC Lille,139968,Nigeria,80,80,1373,6000000.0,40000.0,V. Enyeama
507,Lazio,139668,Italy,80,80,1259,6000000.0,44000.0,F. Marchetti
508,Orlando City Soccer Club,138449,Brazil,80,80,1832,6500000.0,10000.0,Kaká
509,Liverpool,138412,England,80,80,2155,9500000.0,110000.0,J. Milner
510,Beşiktaş JK,134744,Canada,80,80,2065,4500000.0,56000.0,A. Hutchinson
511,Fenerbahçe SK,124635,Turkey,80,80,2051,10000000.0,73000.0,M. Topal
512,Sporting CP,112316,France,80,80,1996,6000000.0,21000.0,J. Mathieu
513,Fenerbahçe SK,111661,Cameroon,80,80,1236,7500000.0,59000.0,C. Kameni
514,Everton,53914,England,80,80,1918,4500000.0,110000.0,P. Jagielka
515,Olympique de Marseille,52091,France,80,80,2023,1700000.0,25000.0,P. Evra
516,Bournemouth,50542,England,80,80,1880,8000000.0,87000.0,J. Defoe
517,SL Benfica,48717,Brazil,80,80,1263,1000000.0,8000.0,Júlio César
518,Manchester United,21146,England,80,80,1992,3500000.0,86000.0,M. Carrick
519,Atlanta United FC,230977,Paraguay,79,83,2025,16500000.0,11000.0,M. Almirón
520,Real Sociedad,230142,Spain,79,86,1820,18000000.0,33000.0,Oyarzabal
521,FC Porto,227476,Brazil,79,81,1943,15500000.0,21000.0,Soares
522,Independiente,225647,Uruguay,79,82,1205,11000000.0,23000.0,M. Campaña
523,RC Deportivo de La Coruña,225018,Romania,79,84,1977,17000000.0,31000.0,F. Andone
524,Sporting CP,224334,Argentina,79,82,2103,16000000.0,22000.0,M. Acuña
525,Manchester United,221660,Sweden,79,86,1869,15000000.0,105000.0,V. Lindelöf
526,OGC Nice,221130,France,79,85,1285,12500000.0,26000.0,Y. Cardinale
527,Sevilla FC,220440,France,79,84,1696,14500000.0,19000.0,C. Lenglet
528,Borussia Dortmund,218339,Germany,79,87,1979,18500000.0,52000.0,M. Dahoud
529,Chelsea,216150,Italy,79,83,2079,13500000.0,110000.0,D. Zappacosta
530,Napoli,215466,Serbia,79,83,1594,13500000.0,64000.0,N. Maksimović
531,Zenit St. Petersburg,215259,Argentina,79,85,1950,17500000.0,64000.0,E. Rigoni
532,Club Atlético Lanús,215057,Argentina,79,82,1916,12500000.0,23000.0,I. Marcone
533,SL Benfica,215051,Argentina,79,80,1785,12000000.0,16000.0,L. López
534,Atlético Madrid,214997,Argentina,79,87,1965,19000000.0,60000.0,A. Correa
535,FC Bayern Munich,213345,France,79,86,1855,18000000.0,81000.0,K. Coman
536,FC Krasnodar,213150,Russia,79,82,1186,11000000.0,40000.0,S. Kritsyuk
537,OGC Nice,212886,France,79,87,2165,18500000.0,37000.0,W. Cyprien
538,Real Sociedad,212602,Spain,79,87,1733,16000000.0,29000.0,Diego Llorente
539,Beşiktaş JK,212523,Brazil,79,84,2096,17000000.0,15000.0,Anderson Talisca
540,RSC Anderlecht,212501,Belgium,79,86,2108,15000000.0,25000.0,L. Dendoncker
541,FC Schalke 04,212150,Germany,79,86,1853,18000000.0,38000.0,M. Meyer
542,Valencia CF,211688,Spain,79,84,2062,14000000.0,31000.0,Gayà
543,Southampton,211381,Morocco,79,84,1842,17000000.0,90000.0,S. Boufal
544,Fiorentina,211354,Italy,79,86,2086,17500000.0,64000.0,M. Benassi
545,Independiente,211256,Argentina,79,84,2006,14000000.0,23000.0,N. Tagliafico
546,Napoli,210864,Albania,79,83,1911,13500000.0,58000.0,E. Hysaj
547,Inter,210514,Portugal,79,86,2116,15000000.0,31000.0,João Cancelo
548,Milan,210413,Italy,79,87,1683,16000000.0,83000.0,A. Romagnoli
549,FC Porto,208777,Spain,79,85,1977,17000000.0,17000.0,Óliver Torres
550,Milan,208128,Turkey,79,83,1988,16500000.0,92000.0,H. Çalhanoğlu
551,RCD Espanyol,208093,Spain,79,83,1919,16500000.0,39000.0,Gerard Moreno
552,Olympique Lyonnais,207948,Burkina Faso,79,85,1957,17500000.0,65000.0,B. Traoré
553,Atlético Madrid,207441,Argentina,79,86,1979,18000000.0,60000.0,L. Vietto
554,Zenit St. Petersburg,207439,Argentina,79,84,2094,16500000.0,64000.0,L. Paredes
555,VfL Wolfsburg,206511,Germany,79,84,2048,16500000.0,63000.0,M. Arnold
556,TSG 1899 Hoffenheim,206113,Germany,79,87,1980,18500000.0,81000.0,S. Gnabry
557,Manchester United,205988,England,79,84,2011,14000000.0,91000.0,L. Shaw
558,İstanbul Başakşehir FK,205678,Bosnia Herzegovina,79,79,1977,13000000.0,35000.0,E. Višća
559,Shakhtar Donetsk,205525,Brazil,79,84,1921,17000000.0,1000.0,Bernard
560,Torino,205407,Italy,79,84,2087,16500000.0,54000.0,D. Baselli
561,Napoli,205175,Poland,79,86,1912,18000000.0,71000.0,A. Milik
562,FC Bayern Munich,205069,Spain,79,83,2069,13500000.0,81000.0,Bernat
563,RB Leipzig,204638,Germany,79,82,1656,13500000.0,57000.0,W. Orban
564,Real Sociedad,204523,Spain,79,83,1966,16000000.0,33000.0,Rubén Pardo
565,Stoke City,204311,France,79,86,1861,15000000.0,96000.0,K. Zouma
566,Borussia Mönchengladbach,204024,Germany,79,82,1849,13000000.0,42000.0,C. Kramer
567,Atlético Madrid,203890,Croatia,79,83,2044,13500000.0,54000.0,S. Vrsaljko
568,Spartak Moscow,203757,Cape Verde,79,81,1872,15500000.0,80000.0,Zé Luís
569,Manchester City,203574,England,79,85,1807,14500000.0,105000.0,J. Stones
570,Borussia Mönchengladbach,202849,Denmark,79,84,1712,14500000.0,36000.0,J. Vestergaard
571,Spartak Moscow,202642,Brazil,79,84,2065,14000000.0,64000.0,Fernando
572,Olympique Lyonnais,202556,Netherlands,79,84,1997,17000000.0,71000.0,M. Depay
573,Swansea City,201988,Argentina,79,79,1599,10000000.0,78000.0,F. Fernández
574,Hannover 96,201956,Senegal,79,81,1813,12500000.0,47000.0,S. Sané
575,Villarreal CF,201858,Italy,79,82,1993,16000000.0,43000.0,N. Sansone
576,VfL Wolfsburg,201533,France,79,82,1917,16000000.0,63000.0,P. Ntep
577,Napoli,201454,Algeria,79,82,2067,13000000.0,68000.0,F. Ghoulam
578,Valencia CF,201377,Colombia,79,83,1822,13500000.0,64000.0,J. Murillo
579,Valencia CF,201305,Brazil,79,81,1902,12500000.0,37000.0,Gabriel Paulista
580,Hertha BSC Berlin,201262,Czech Republic,79,80,2098,14500000.0,38000.0,V. Darida
581,Southampton,201118,Portugal,79,82,2118,13000000.0,82000.0,Cédric
582,Napoli,201049,Italy,79,81,1678,12500000.0,68000.0,L. Tonelli
583,Fiorentina,201046,Italy,79,82,1864,16000000.0,6000.0,R. Saponara
584,AS Monaco,201042,France,79,82,2086,13000000.0,35000.0,D. Sidibé
585,FC Schalke 04,200641,Ukraine,79,79,1931,13000000.0,53000.0,Y. Konoplyanka
586,FC Barcelona,200458,France,79,84,2052,14000000.0,125000.0,L. Digne
587,FC Barcelona,200454,Spain,79,85,1859,17500000.0,150000.0,Paco Alcácer
588,UD Las Palmas,199977,Spain,79,79,1886,12500000.0,30000.0,Vicente Gómez
589,RC Deportivo de La Coruña,199952,Turkey,79,82,1947,15500000.0,32000.0,E. Çolak
590,Feyenoord,199852,Denmark,79,81,1931,15500000.0,25000.0,N. Jørgensen
591,Southampton,199576,Spain,79,81,1837,13000000.0,82000.0,Oriol Romeu
592,Sevilla FC,199561,Spain,79,79,1986,12000000.0,26000.0,Nolito
593,Stoke City,199550,Netherlands,79,82,1719,13500000.0,71000.0,B. Martins Indi
594,Southampton,198683,Italy,79,83,1893,16500000.0,98000.0,M. Gabbiadini
595,Borussia Mönchengladbach,198077,Germany,79,80,1961,15000000.0,46000.0,P. Herrmann
596,Newcastle United,197948,France,79,83,1821,13500000.0,75000.0,F. Lejeune
597,VfL Wolfsburg,195363,Netherlands,79,83,1865,13500000.0,63000.0,J. Bruma
598,Manchester United,194957,England,79,80,1860,12500000.0,115000.0,P. Jones
599,West Ham United,194911,Spain,79,79,1246,8000000.0,80000.0,Adrián
600,Málaga CF,194174,Spain,79,82,1947,16000000.0,31000.0,Keko
601,RCD Espanyol,193887,Paraguay,79,79,1912,12500000.0,39000.0,H. Pérez
602,Villarreal CF,193171,Spain,79,79,2048,9500000.0,40000.0,Jaume Costa
603,Paris Saint-Germain,193105,France,79,86,1266,13000000.0,54000.0,A. Areola
604,Sevilla FC,192679,Spain,79,79,2047,10500000.0,22000.0,Escudero
605,VfL Wolfsburg,192565,Turkey,79,81,1921,15500000.0,69000.0,Y. Mallı
606,Zenit St. Petersburg,192086,Russia,79,81,2004,15500000.0,80000.0,A. Kokorin
607,Sevilla FC,191210,France,79,80,2114,12000000.0,22000.0,S. Corchia
608,Trabzonspor,190875,Slovakia,79,79,2178,11500000.0,42000.0,J. Kucka
609,PSV,190778,Netherlands,79,82,1276,11000000.0,17000.0,J. Zoet
610,Torino,190544,Serbia,79,82,1940,16000000.0,58000.0,A. Ljajić
611,Real Sociedad,190286,Spain,79,82,1764,15500000.0,37000.0,Canales
612,FC Augsburg,190243,Switzerland,79,79,1195,8500000.0,27000.0,M. Hitz
